Breed,RuleType,MinAge,MaxAge,MinWeight,MaxWeight,RiskDescription,Suggestion
金毛,Weight,,,,,"容易因食量大且运动不足而超重，增加心脏和关节负担。","每日分餐控制热量，使用慢食碗并保证≥60分钟有氧运动。"
金毛,Joint,,,,,"遗传性髋关节发育不良加上肥胖会加速关节退化。","每年做髋关节X光筛查，保持理想体态，并补充软骨素+DHA。"
金毛,Grooming,,,,,"下垂耳通风差，易滋生酵母或细菌感染。","每周检查耳道并用宠物耳液清洁，游泳后及时吹干耳根。"
金毛,Skin,,,,,"双层被毛季节性大量掉毛，容易形成毛结和湿疹。","换毛季每日梳理，平时每周2次针梳+开结梳，并补充鱼油。"
金毛,Training,0.2,2,,,,"精力旺盛，如社会化不足易拉拽或拆家。","12周龄前完成服从课，每日嗅闻游戏+取物游戏消耗精力。"
金毛,ParasiteControl,,,,,"户外活动多，易被蜱虫叮咬感染莱姆病。","春夏每月口服异噻虫胺驱虫，回家后检查腹股沟和耳后。"
金毛,FirstWeekHome,0,0.3,,,,"环境骤变易引起应激腹泻或乱咬家具。","限定活动区，提供咬胶转移啃咬，保持原粮分4餐喂食。"
拉布拉多,Weight,,,,,"贪吃易肥胖，超重会恶化髋肘关节病变。","使用计量勺定量，每日60‑90分钟中强度散步+游泳。"
拉布拉多,Grooming,,,,,"短双层被毛每年两次大量换毛，如不梳理易皮屑堆积。","每周针梳并吹干底毛，换毛季可用吹水机辅助脱毛。"
拉布拉多,Joint,,,,,"大型运动犬频繁高台跳跃易伤十字韧带。","两岁前避免高强度负重跑步，改用游泳等低冲击运动。"
拉布拉多,Training,0.2,1.5,,,,"青春期常见啃咬扑人行为。","3月龄起进行正向服从训练，使用嗅闻垫缓解口欲。"
拉布拉多,ParasiteControl,,,,,"喜水犬潮湿耳道易发酵母性耳炎。","游泳后彻底吹干耳道，每月使用含咪康唑耳液预防。"
泰迪/贵宾,Dental,,,,,"牙齿拥挤易形成牙石导致牙周病。","3月龄起每日刷牙，6‑12个月洗牙一次，选用小颗粒干粮。"
泰迪/贵宾,Grooming,,,,,"卷毛持续生长，如不修剪易打结及皮肤炎。","每6‑8周整体修剪，日常顺毛梳并吹风蓬松。"
泰迪/贵宾,Weight,,,,,"零食多运动少易诱发胰腺炎。","零食<10%热量，每日2×30分钟快步或互动游戏。"
泰迪/贵宾,Socialization,0.1,1,,,,"社交不足易对陌生人犬吠叫。","疫苗完成后参加幼犬社交课，每周与不同犬种互动。"
泰迪/贵宾,ParasiteControl,,,,,"卷毛易藏跳蚤导致过敏性皮炎。","每月使用赛拉菌素或非泼罗尼驱虫，并定期梳毛检查。"
柯基,Joint,,,,,"身长腿短，超重易患椎间盘突出。","维持体重≤13 kg，避免频繁上下楼梯或高处跳落。"
柯基,Weight,,,,,"嗜食易胖，加重脊柱压力。","定量喂食，用嗅闻垫延缓进食，每日60分钟散步。"
柯基,Training,0.2,1.5,,,,"护食和吠叫常见。","进行资源置换训练，正向强化减少过度吠叫。"
柯基,Grooming,,,,,"双层被毛换毛量大，疏忽梳理易打结。","换毛季每日梳理并用吹水机；平时每周2次梳毛。"
柯基,Socialization,0.1,1,,,,"牧牛本能易追逐儿童车辆。","幼犬期练习“看我”指令并暴露于多种移动刺激。"
比熊,Grooming,,,,,"白色卷毛易打结和泪痕。","每日梳理，每月专业美容，眼周用无泪湿巾清洁。"
比熊,Skin,,,,,"泪痕潮湿可致眼周皮炎。","保持饮水洁净，减少色素食物，必要时检查泪道。"
比熊,Dental,,,,,"小型犬牙缝密，轻微牙石也易发炎。","每周3次刷牙，3岁前首次洁牙，定期口腔检查。"
比熊,Weight,,,,,"肥胖易导致髌骨脱位。","控制热量，增加室内嗅闻找零食等低冲击游戏。"
比熊,ParasiteControl,,,,,"卷毛蓬松，夏季湿热易藏螨虫。","每月使用福来恩并保持毛发干爽通风。"
萨摩耶,Grooming,,,,,"长双层白毛换毛季易毛毡。","换毛季每日梳理+吹水机；其他季每周梳理。"
萨摩耶,Skin,,,,,"潮湿底毛易诱发真菌感染。","洗澡后彻底吹干底毛，补充Omega‑3和锌。"
萨摩耶,Weight,,,,,"高热量食物易增重并加剧关节压力。","采用中等热量犬粮，增加牵引跑步等耐力运动。"
萨摩耶,Training,0.5,2,,,,"缺乏精神刺激易吠叫拆家。","每日嗅闻追踪、拖物练习并提供耐咬玩具。"
萨摩耶,ParasiteControl,,,,,"厚毛易藏蜱虫引发莱姆病。","草地活动后细齿梳检查，春夏每月口服驱虫。"
柴犬,Skin,,,,,"遗传性皮肤敏感，潮湿易脂溢性皮炎。","保持通风，定期吹风梳理；出现瘙痒及时就医。"
柴犬,Socialization,0.1,1,,,,"独立警觉易与陌生犬冲突。","幼犬期日托或公园短暂社交，训练“安静”口令。"
柴犬,Training,,,,,"领地意识强，易爆冲。","正向训练“看我”“停”，对资源护卫进行脱敏。"
柴犬,Weight,,,,,"活动不足易脂肪堆积导致关节压力。","每日45分钟快走+爬坡，减少高脂零食。"
柴犬,Grooming,,,,,"换毛后残留浮毛会堵塞毛孔。","用吹风机逆毛吹出废毛，再用针梳收尾。"
通用幼犬,PuppyCare,0,1,,,,"免疫未完成外出易感染细小犬瘟。","完成3针联苗+狂犬前避免与陌生犬直接接触。"
通用幼犬,FirstWeekHome,0,0.1,,,,"环境改变易应激腹泻。","保持原粮分4餐，布置安静睡窝并定时喂食。"
通用幼犬,Socialization,0.1,1,,,,"3‑14周是关键社交期，错过易留下恐惧。","两针疫苗后逐步接触多种声音人狗并奖励正向体验。"
通用幼犬,Training,0.1,1,,,,"未及时咬抑制训练易形成咬手习惯。","幼犬咬手即尖叫中断并给咬胶，奖励柔口行为。"
通用幼犬,ParasiteControl,0,1,,,,"幼犬常见肠道寄生虫导致营养不良。","按2‑4‑6‑8周龄方案驱虫，之后每月1次至6个月。"
通用老年犬,SeniorCare,7,20,,,,"代谢降低，肥胖心脏病风险上升。","改用老年犬低热量处方粮，定期检测体重与血检。"
通用老年犬,Joint,7,20,,,,"软骨退化导致关节疼痛。","每日20‑30分钟轻度散步，补充软骨素鱼油并用坡道代替楼梯。"
通用老年犬,Dental,7,20,,,,"牙龈萎缩易松牙影响食欲。","每半年口腔检查，必要时拔除病牙并改用湿粮。"
通用老年犬,Weight,7,20,,,,"肌肉量下降基础代谢低。","分段喂食，增加嗅闻玩具活动，限制零食。"
通用老年犬,Training,7,20,,,,"认知衰退可能夜间吠叫迷路。","保持固定作息，用嗅觉游戏刺激认知，症状加重咨询兽医。"
边牧,Exercise,,,,,"精力极其旺盛，运动不足易焦虑或出现行为问题。","每日需要至少1.5-2小时高强度运动和脑力游戏，如飞盘、敏捷训练、复杂指令学习。"
边牧,Grooming,,,,,"中长毛，有底绒，易打结，换毛量大。","每周至少梳毛2-3次，换毛季需每日梳理，定期检查耳朵。"
边牧,Training,,,,,"非常聪明但可能固执，需要早期持续的正向训练。","利用其高智商进行响片训练或技巧学习，避免强制性方法。"
